id,full_address,mbl,business_name,code_number,code_description,case_open_date,case_closed_date,date_corrected,status,street,viewpoint_id,latitude,longitude,inpector_comments,coordinates,applicant_submit_date,issue_date,permit_type,unique_identifier,sentiment_score
1479383,"1933 Massachusetts Ave, Cambridge, MA 02140",179-75,SUGAR & SPICE,4-202.12,"CIP Equipment (Pf, C)",2026-08-19T00:00:00.000,2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,Complete,Massachusetts Ave,1479383,42.389619,-71.119961,The affected area must be professionally cleaned and sanitized.,"{'type': 'Point', 'coordinates': [-71.119961, 42.389619]}",2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,Sanitary Inspection,14793834-202.12 2026-08-192026-08-20The affected area must be professionally cleaned and sanitized.,-0.1531
1479383,"1933 Massachusetts Ave, Cambridge, MA 02140",179-75,SUGAR & SPICE,3-701.11,"Discarding or Reconditioning Unsafe, Adulterated, or Contaminated Food (P)",2026-08-19T00:00:00.000,2026-08-20T00:00:00.000,2026-08-19T00:00:00.000,Complete,Massachusetts Ave,1479383,42.389619,-71.119961,"All foods exposed to the fire, smoke, extinguisher residue were discarded at the time of the inspection.","{'type': 'Point', 'coordinates': [-71.119961, 42.389619]}",2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,Sanitary Inspection,"14793833-701.11 2026-08-192026-08-20All foods exposed to the fire, smoke, extinguisher residue were discarded at the time of the inspection.",-0.6249
1479383,"1933 Massachusetts Ave, Cambridge, MA 02140",179-75,SUGAR & SPICE,6-201.12,"Floors, Walls, and Ceilings, Utility Lines (C)",2026-08-19T00:00:00.000,2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,Complete,Massachusetts Ave,1479383,42.389619,-71.119961,"Floors, walls, ceilings, and reach-in equipment, and door handles must be professionally cleaned and sanitized.","{'type': 'Point', 'coordinates': [-71.119961, 42.389619]}",2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,Sanitary Inspection,"14793836-201.122026-08-192026-08-20Floors, walls, ceilings, and reach-in equipment, and door handles must be professionally cleaned and sanitized.",0.0
1478955,"22 Jfk St, Cambridge, MA 02138",160-70,Life Alive Organic Cafe,3-302.15,Washing Fruits and Vegetables (Pf),2026-08-18T00:00:00.000,2026-08-25T00:00:00.000,,Complete,Jfk St,1478955,42.373013,-71.119644,Provide operating standard procedures for broccoli preparation,"{'type': 'Point', 'coordinates': [-71.119644, 42.373013]}",2026-08-18T00:00:00.000,2026-08-25T00:00:00.000,Sanitary Inspection,14789553-302.15 2026-08-182026-08-25Provide operating standard procedures for broccoli preparation,0.0
1478557,"1682 Massachusetts Ave, Cambridge, MA 02138",174-30,Giulia,3-304.12,"In-Use Utensils, Between-Use Storage (C)",2026-08-17T00:00:00.000,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Complete,Massachusetts Ave,1478557,42.382513,-71.119829,Small metal spoons left inside container of shaved herb infused ice,"{'type': 'Point', 'coordinates': [-71.119829, 42.382513]}",2026-08-18T00:00:00.000,2026-08-24T00:00:00.000,Sanitary Inspection,14785573-304.12 2026-08-172026-08-24Small metal spoons left inside container of shaved herb infused ice,0.0
1478557,"1682 Massachusetts Ave, Cambridge, MA 02138",174-30,Giulia,6-501.111,"Controlling Pests (Pf, C)",2026-08-17T00:00:00.000,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Complete,Massachusetts Ave,1478557,42.382513,-71.119829,Provide 3 months of extermination reports. Rodent droppings noted in basement prep area. Remove immediately.Discard bread left out on sheet pan racks. Possible bees nest observed outside under pulled up flower bed. Determine issue and resolve. Possible rodent burrow(s) observed along the back of the building. Determine and resolve.,"{'type': 'Point', 'coordinates': [-71.119829, 42.382513]}",2026-08-18T00:00:00.000,2026-08-24T00:00:00.000,Sanitary Inspection,14785576-501.1112026-08-172026-08-24Provide 3 months of extermination reports. Rodent droppings noted in basement prep area. Remove immediately.Discard bread left out on sheet pan racks. Possible bees nest observed outside under pulled up flower bed. Determine issue and resolve. Possible rodent burrow(s) observed along the back of the building. Determine and resolve.,0.6369
1478557,"1682 Massachusetts Ave, Cambridge, MA 02138",174-30,Giulia,3-304.14,"Wiping Cloths, Use Limitation (C)",2026-08-17T00:00:00.000,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Complete,Massachusetts Ave,1478557,42.382513,-71.119829,Sanitizer buckets needed in all active food prep areas in basement.,"{'type': 'Point', 'coordinates': [-71.119829, 42.382513]}",2026-08-18T00:00:00.000,2026-08-24T00:00:00.000,Sanitary Inspection,14785573-304.14 2026-08-172026-08-24Sanitizer buckets needed in all active food prep areas in basement.,0.4019
1478557,"1682 Massachusetts Ave, Cambridge, MA 02138",174-30,Giulia,4-601.11 (A),"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils (Pf)",2026-08-17T00:00:00.000,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Complete,Massachusetts Ave,1478557,42.382513,-71.119829,Interior of ice machine soiled in buildup. Do Not Use ice until thoroughly cleaned and sanitized.,"{'type': 'Point', 'coordinates': [-71.119829, 42.382513]}",2026-08-18T00:00:00.000,2026-08-24T00:00:00.000,Sanitary Inspection,14785574-601.11 (A)2026-08-172026-08-24Interior of ice machine soiled in buildup. Do Not Use ice until thoroughly cleaned and sanitized.,0.0
1478557,"1682 Massachusetts Ave, Cambridge, MA 02138",174-30,Giulia,4-302.14,"Sanitizing Solutions, Testing Devices (Pf)",2026-08-17T00:00:00.000,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Complete,Massachusetts Ave,1478557,42.382513,-71.119829,Replaced expired quat strips,"{'type': 'Point', 'coordinates': [-71.119829, 42.382513]}",2026-08-18T00:00:00.000,2026-08-24T00:00:00.000,Sanitary Inspection,14785574-302.14 2026-08-172026-08-24Replaced expired quat strips,0.0
1478557,"1682 Massachusetts Ave, Cambridge, MA 02138",174-30,Giulia,3-203.12,"Shellstock, Maintaining Identification (Pf)",2026-08-17T00:00:00.000,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Complete,Massachusetts Ave,1478557,42.382513,-71.119829,Oyster tag removed from a partially opened bag of oysters in walk-in cooler. Tag was placed in binder for record keeping.Oyster tags missing datemarking of last oyster sold or served.,"{'type': 'Point', 'coordinates': [-71.119829, 42.382513]}",2026-08-18T00:00:00.000,2026-08-24T00:00:00.000,Sanitary Inspection,14785573-203.122026-08-172026-08-24Oyster tag removed from a partially opened bag of oysters in walk-in cooler. Tag was placed in binder for record keeping.Oyster tags missing datemarking of last oyster sold or served.,-0.296
